idiom_hi,meaning_hi,literal_hi,sentence_hi
अपनी खिचड़ी अलग पकाना,To work in isolation; to do things in your own way without regard for others.,To cook one's own khichdi separately,
अँगारे बरसना,To be scorching hot; extreme heat of the sun.,To rain embers,
अंग-अंग फूले न समाना,To be overjoyed; extremely delighted.,"Every limb swelling with joy, unable to be contained",
अम्बर के तारे गिनना,To stay awake all night; unable to sleep.,To count stars in the sky,
एक तीर से दो निशाने लगाना,To kill two birds with one stone; to solve two problems with a single action.,To hit two targets with one arrow,
"शैतान का नाम लिया, शैतान हाजिर",Speak of the devil; the person you were just talking about suddenly appears.,Take the devil's name and the devil appears,
जिसकी लाठी उसकी भैंस,Might is right; those with power can do as they please.,"Whose stick, his buffalo",
अपना उल्लू सीधा करना,To achieve one's own selfish motive; to act in self-interest without regard for others.,To make one's owl straight,
अपने पाँव पर कुल्हाड़ी मारना,To harm oneself; to jeopardize one's own position or interests.,To strike one's own feet with an axe,
कान का उल्लू होना,To be a foolish or naive person who is easily fooled.,To be an owl of the ear,
जान पर खेलना,To risk one's life; to endanger oneself.,To play on one's life,
दिन दूनी रात चौगुनी,At a very fast rate; progressing rapidly.,"Day by two, night by four",
धरती पर पाँव न पड़ना,To be very proud or arrogant; to have an inflated ego.,Feet not touching the ground,
छाती पीटना,To wail or lament loudly; to express intense grief.,To beat one's chest,
जी चुराना,To avoid work; to evade responsibilities or tasks.,To steal one's heart/courage,
आग में घी डालना,To add fuel to the fire; to make matters worse.,To pour ghee into fire,
ईद का चाँद होना,Once in a blue moon; something or someone seen very rarely.,To be the moon of Eid,
खून का प्यासा,To be vengeful; desperately seeking revenge.,Thirsty for blood,
चौड़े बेंकर सोना,To be free from all worries; to be completely carefree.,To sleep with wide banks,
दाँत खट्टे करना,To defeat someone decisively; to overcome an opponent.,To make teeth sour,
रंग बदलना,To change one's behaviour or character according to the situation; to be inconsistent.,To change color,
सिक्का जमाना,To make an immediate and lasting impact; to establish authority or credibility.,To establish one's coin,
