model,idiom,language,cluster
mSBERT,অ আ ক খ,Bengali,20
mSBERT,অকর্মার ধাড়ি,Bengali,35
mSBERT,অকলের শত্রু,Bengali,35
mSBERT,অকস্মাৎ বজ্রপাত,Bengali,20
mSBERT,অকাজের গোঁসাই,Bengali,1
mSBERT,অকারণে হৈচৈ,Bengali,5
mSBERT,অকাল,Bengali,35
mSBERT,অকাল-অপক্ব,Bengali,20
mSBERT,অকালকুষ্মাণ্ড,Bengali,20
mSBERT,অকালপক্ব,Bengali,20
mSBERT,অকালবসন্ত,Bengali,20
mSBERT,অকালবোধন,Bengali,20
mSBERT,অকালমৃত্যু,Bengali,25
mSBERT,অকালসন্ধ্যা,Bengali,25
mSBERT,অকালের বাদল,Bengali,26
mSBERT,অকালের তাল,Bengali,25
mSBERT,অকূল,Bengali,35
mSBERT,অকূলতারণ,Bengali,26
mSBERT,অকূলে কূল পাওয়া,Bengali,25
mSBERT,অকূলে ডোবা,Bengali,1
mSBERT,অকূলদরিয়ায় ভাসা,Bengali,1
mSBERT,অকূলের কূল,Bengali,25
mSBERT,অকূলের ভেলা,Bengali,25
mSBERT,অক্কা পাওয়া,Bengali,35
mSBERT,অক্টোপাস,Bengali,35
mSBERT,অক্ষয়বট,Bengali,35
mSBERT,অক্ষর পরিচয়,Bengali,20
mSBERT,অক্ষরজ্ঞান,Bengali,25
mSBERT,অক্ষরে অক্ষরে,Bengali,20
mSBERT,অক্সিজেন জোগানো,Bengali,20
mSBERT,অখদ্যে অবদ্যে,Bengali,26
mSBERT,অখন-তখন অবস্থা,Bengali,39
mSBERT,অগতির গতি,Bengali,19
mSBERT,অগত্যা মধুসূদন,Bengali,25
mSBERT,অগভীর জলের পুঁটিমাছ,Bengali,13
mSBERT,অগর-মগর করা,Bengali,1
mSBERT,অগস্ত্যযাত্রা,Bengali,19
mSBERT,অগা,Bengali,35
mSBERT,অগাধ জল,Bengali,25
mSBERT,অগাধ জলের মাছ,Bengali,13
mSBERT,অগ্নি-অবতার,Bengali,1
mSBERT,অগ্নিকন্যা,Bengali,35
mSBERT,অগ্নিকাণ্ড,Bengali,35
mSBERT,অগ্নিগর্ভ,Bengali,35
mSBERT,অগ্নিচক্ষু,Bengali,35
mSBERT,অগ্নিদাতা,Bengali,25
mSBERT,অগ্নিপরীক্ষা,Bengali,35
mSBERT,অগ্নিবর্ধক,Bengali,35
mSBERT,অগ্নিবর্ষণ,Bengali,25
mSBERT,অগ্নিবল,Bengali,35
mSBERT,অগ্নিবাণ,Bengali,25
mSBERT,অগ্নিবৃদ্ধি,Bengali,20
mSBERT,অগ্নিমান্দ্য,Bengali,35
mSBERT,অগ্নিমূর্তি,Bengali,35
mSBERT,অগ্নিমূল্য,Bengali,20
mSBERT,অগ্নিযুগ,Bengali,25
mSBERT,অগ্নিশর্মা,Bengali,35
mSBERT,অগ্নিসংস্কার,Bengali,20
mSBERT,অগ্নিসাক্ষী,Bengali,25
mSBERT,অগ্নিসেবন,Bengali,25
mSBERT,অগ্নিতে ঘৃতাহূতি,Bengali,25
mSBERT,অগ্নিতে বারিবর্ষণ,Bengali,25
mSBERT,অগ্রদানী,Bengali,20
mSBERT,অগ্রদূত,Bengali,20
mSBERT,অগ্রপশ্চাৎ,Bengali,20
mSBERT,অগ্রপশ্চাত্,Bengali,39
mSBERT,অগ্রপাণি,Bengali,20
mSBERT,অঘটন ঘটন পটিয়সী,Bengali,26
mSBERT,অঘা,Bengali,12
mSBERT,অঙ্কলক্ষ্মী,Bengali,1
mSBERT,অঙ্কুরে বিনষ্ট,Bengali,20
mSBERT,অঙ্কুরোদ্গম,Bengali,35
mSBERT,অঙ্কুশ তাড়না,Bengali,20
mSBERT,অঙ্কস্থ,Bengali,35
mSBERT,অঙ্গ জল হওয়া,Bengali,20
mSBERT,অঙ্গ জ্বালা,Bengali,44
mSBERT,অঙ্গুলিত্রান,Bengali,25
mSBERT,অঙ্গুলি নির্দেশ,Bengali,26
mSBERT,অচল পয়সা,Bengali,1
mSBERT,অচলায়তন,Bengali,20
mSBERT,অচিনপাখি,Bengali,35
mSBERT,অচন্দ্রচেতন,Bengali,26
mSBERT,অজগরবৃত্তি,Bengali,20
mSBERT,অজগ্রাম,Bengali,35
mSBERT,অজমূর্খ,Bengali,35
mSBERT,অজাতশত্রু,Bengali,20
mSBERT,অজাতশ্মশ্রু,Bengali,35
mSBERT,অজা যুদ্ধ,Bengali,20
mSBERT,অজাযুদ্ধ,Bengali,20
mSBERT,অজুহাত,Bengali,12
mSBERT,অজ্ঞাতকুলশীল,Bengali,26
mSBERT,অঞ্চলনিধি,Bengali,25
mSBERT,অঞ্চলপ্রভাব,Bengali,25
mSBERT,অতঃকিম,Bengali,39
mSBERT,অতশত,Bengali,39
mSBERT,অতিকথায় বার্তা নষ্ট,Bengali,26
mSBERT,অতিগর্জনে ফোঁটাবৃষ্টি,Bengali,20
mSBERT,অতিঘরন্তি,Bengali,20
mSBERT,অতি চালাকের গলায় দড়ি,Bengali,44
mSBERT,অতিদর্পে হত লঙ্কা,Bengali,26
mSBERT,অতিভক্তি চোরের লক্ষণ,Bengali,26
mSBERT,অতিলোভে তাঁতী নষ্ট,Bengali,20
mSBERT,অথৈ জল,Bengali,13
mSBERT,অথৈ জলের মাছ,Bengali,13
mSBERT,অদল-বদল,Bengali,20
mSBERT,অদানে অব্রাহ্মণে,Bengali,25
mSBERT,অদিনে অক্ষণে,Bengali,20
mSBERT,অদৃষ্টের কিল,Bengali,25
mSBERT,অধঃপাতে যাওয়া,Bengali,12
mSBERT,অধমাধম,Bengali,35
mSBERT,অধিকগর্জনে অল্পবর্ষণ,Bengali,26
mSBERT,অধিক সন্ন্যাসীতে গাজন নষ্ট,Bengali,26
mSBERT,অধিবাস,Bengali,25
mSBERT,অধিবিন্না,Bengali,1
mSBERT,অধিবেত্তা,Bengali,20
mSBERT,অধিমাস,Bengali,20
mSBERT,অনন্তনিদ্রা,Bengali,26
mSBERT,অনন্তবালা,Bengali,35
mSBERT,অনন্তরূপিণী,Bengali,26
mSBERT,অনন্তশয্যা,Bengali,20
mSBERT,অনন্তশয়ন,Bengali,20
mSBERT,অনভ্যাসের ফোঁটা,Bengali,44
mSBERT,অনলে জল ঢালা,Bengali,13
mSBERT,অনাগতবিধাতা,Bengali,26
mSBERT,অনাথের দৈব সখা,Bengali,25
mSBERT,অনাথের নাথ,Bengali,25
mSBERT,অনামিকা,Bengali,35
mSBERT,অনামুখো,Bengali,35
mSBERT,অনাসৃষ্টি,Bengali,26
mSBERT,অনাহারী,Bengali,25
mSBERT,অনিষ্ট হতে ইষ্টলাভ,Bengali,26
mSBERT,অনুপান,Bengali,20
mSBERT,অনুরোধে ঢেঁকি গিলা,Bengali,25
mSBERT,অনুরোধে ঢেঁকি গেলা,Bengali,26
mSBERT,অনুলোম বিবাহ,Bengali,14
mSBERT,অনেক কাঠখড় পুড়িয়ে,Bengali,7
mSBERT,অনেক জলের মাছ,Bengali,13
mSBERT,অনেক সন্ন্যাসীতে গাজন নষ্ট,Bengali,44
mSBERT,অন্তর টিপুনি,Bengali,26
mSBERT,অন্তরাত্মা,Bengali,25
mSBERT,অন্তর্জলি,Bengali,35
mSBERT,অন্তর্জলি যাত্রা,Bengali,25
mSBERT,অন্তর্দাহ,Bengali,20
mSBERT,অন্তিমদশা,Bengali,25
mSBERT,অন্ধ ও খোঁড়ার পথ চলা,Bengali,26
mSBERT,অন্ধকার দেখা,Bengali,0
mSBERT,অন্ধকার দেখানো,Bengali,26
mSBERT,অন্ধকারে উকুন বাছা,Bengali,44
mSBERT,অন্ধকারে কালো বিড়াল খোঁজা,Bengali,0
mSBERT,অন্ধকারে ঢিল ছোঁড়া,Bengali,0
mSBERT,অন্ধকারে থাকা,Bengali,26
mSBERT,অন্ধকারে হাতড়ানো,Bengali,44
mSBERT,অন্ধকূপ,Bengali,20
mSBERT,অন্ধকে দর্পণ দেখানো,Bengali,26
mSBERT,অন্ধগোলাঙ্গুলন্যায়,Bengali,20
mSBERT,অন্ধপঙ্গুন্যায়,Bengali,25
mSBERT,অন্ধপরম্পরান্যায়,Bengali,20
mSBERT,অন্ধ পরম্পরা অন্যায়,Bengali,26
mSBERT,অন্ধবিশ্বাস,Bengali,26
mSBERT,অন্ধভক্তি,Bengali,26
mSBERT,অন্ধ হওয়া,Bengali,26
mSBERT,অন্ধহস্তীন্যায়,Bengali,25
mSBERT,অন্ধিসন্ধি,Bengali,25
mSBERT,অন্ধের দেশে কানা রাজা,Bengali,25
mSBERT,অন্ধের যষ্টি,Bengali,26
mSBERT,অন্ধের হস্তীদর্শন,Bengali,26
mSBERT,অন্ন ওঠা,Bengali,26
mSBERT,অন্নগত প্রাণ,Bengali,26
mSBERT,অন্নচিন্তা চমৎকারা,Bengali,25
mSBERT,অন্নজল,Bengali,35
mSBERT,অন্নজল ওঠা,Bengali,25
mSBERT,অন্নজলের নাড়ী কোটা,Bengali,25
mSBERT,অন্নজলের বরাত ওঠা,Bengali,25
mSBERT,অন্নদাস,Bengali,35
mSBERT,অন্নধ্বংস করা,Bengali,26
mSBERT,অন্নপ্রাশনের ভাত ওঠা,Bengali,25
mSBERT,অন্নবল,Bengali,35
mSBERT,অন্নবস্ত্র,Bengali,20
mSBERT,অন্নময় কোষ,Bengali,26
mSBERT,অন্ন মারা,Bengali,26
mSBERT,অন্নসঙ্কট,Bengali,20
mSBERT,অন্নসংস্থান,Bengali,26
mSBERT,অন্যপুষ্ট,Bengali,20
mSBERT,অন্যপূর্বা,Bengali,39
mSBERT,অপত্যস্নেহ,Bengali,12
mSBERT,অপদার্থ,Bengali,26
mSBERT,অপরূপ,Bengali,12
mSBERT,অপাঙ্ক্তেয়,Bengali,35
mSBERT,অপগণ্ড,Bengali,20
mSBERT,অপোগণ্ড,Bengali,35
mSBERT,অবতার,Bengali,20
mSBERT,অবরে-সবরে,Bengali,1
mSBERT,অবলা-অখলা,Bengali,1
mSBERT,অবশ্য অবশ্য,Bengali,39
mSBERT,অবস্থা বুঝে ব্যবস্থা,Bengali,26
mSBERT,অবস্থার দাস,Bengali,26
mSBERT,অবাকজলপান,Bengali,35
mSBERT,অব্রাহ্মণের দীর্ঘফোঁটা,Bengali,25
mSBERT,অভদ্রাকাল,Bengali,25
mSBERT,অভাবে স্বভাব নষ্ট,Bengali,26
mSBERT,অভেদাত্মা হরিহর,Bengali,1
mSBERT,অমনি অমনি,Bengali,1
mSBERT,অমনি একরকম,Bengali,25
mSBERT,অমরকণ্টক কণ্ঠ হয়ে অমরনাথ যাত্রা,Bengali,25
mSBERT,অমাবস্যার অন্ধকার,Bengali,25
mSBERT,অমাবস্যার চাঁদ,Bengali,25
mSBERT,অমৃতং বালভাষিতম,Bengali,25
mSBERT,অমৃতং সুভাষিতম,Bengali,26
mSBERT,অমৃতপথযাত্রা,Bengali,25
mSBERT,অমৃতে অরুচি,Bengali,25
mSBERT,অমৃতের পুত্র,Bengali,25
mSBERT,অমেরুদণ্ডী,Bengali,25
mSBERT,অম্লমধুর বাক্য,Bengali,20
mSBERT,অম্লমধুর সম্পর্ক,Bengali,26
mSBERT,অম্লানবদনে,Bengali,25
mSBERT,অয়েল করা,Bengali,20
mSBERT,অরণ্যেরোদন,Bengali,1
mSBERT,অরুচি ধরা,Bengali,20
mSBERT,অরুচির অম্বল শীতের কম্বল,Bengali,25
mSBERT,অর্জুনের গাণ্ডীব,Bengali,1
mSBERT,অর্থগৃধ্নু,Bengali,18
mSBERT,অর্থদণ্ড,Bengali,18
mSBERT,অর্থপিশাচ,Bengali,35
mSBERT,অর্থমনর্থম্,Bengali,18
mSBERT,অর্ধচন্দ্র দেওয়া,Bengali,1
mSBERT,অর্ধজরতীন্যায়,Bengali,25
mSBERT,অলকাতিলকা,Bengali,35
mSBERT,অলক্ষ্মী,Bengali,1
mSBERT,অলক্ষ্মীর দশা,Bengali,1
mSBERT,অল দা সেম,Bengali,1
mSBERT,অল্পেয়ে,Bengali,20
mSBERT,অলম্বুষ,Bengali,35
mSBERT,অলিগলি,Bengali,35
mSBERT,অলিপান,Bengali,35
mSBERT,অলোকসামান্যা,Bengali,35
mSBERT,অল্পজলের মাছ,Bengali,13
mSBERT,অল্প জলের মাছ,Bengali,13
mSBERT,অল্পবিদ্যা ভয়ংকরী,Bengali,12
mSBERT,অল্পের উপর দিয়ে যাওয়া,Bengali,20
mSBERT,অশনিসঙ্কেত,Bengali,35
mSBERT,অশিক্ষিত পটুত্ব,Bengali,26
mSBERT,অশুভস্য কালহরণম,Bengali,20
mSBERT,অশ্বডিম্ব,Bengali,1
mSBERT,অশ্বতর,Bengali,35
mSBERT,অশ্বত্থামা হত ইতি গজ,Bengali,25
