idiom_hi,meaning_hi,literal_hi,sentence_hi
नज़रबंद करना,To restrict someone's freedom.,To put under house arrest.,"Usne apne vicharon ko nazarband kiya, kyunki wo jaanta tha ki samaj unhe sweekar nahi karega."
धरना देना,To stand firm on an issue.,To sit in protest.,Kisaan dharna dekar apni maangein manwane mein safal hue.
दीवारों के कान होना,Confidential matters may be overheard.,Walls have ears.,"Jab bhi tum baat karo, yaad rakho deewaron ke kaan hote hain."
थक कर चूर होना,To be extremely tired.,To be completely exhausted.,Kaam karte-karate woh thak kar choor ho gaya.
तिनके का सहारा,A small help in a difficult situation.,A straw's support.,Uski madad tinke ka sahara saabit hui jab sab kuch ulat gaya.
सांप भी मर जाए और लाठी भी न टूटे,Finding a solution that satisfies all parties without loss.,"The snake should die, but the stick should not break.",Is samasya ka samadhan aisa hona chahiye ki saanp bhi mar jaye aur laathi bhi na toote.
बंदर क्या जाने अदरक का,Someone is unaware of the value or significance of something.,What does a monkey know of ginger?,Usne jab us kitaab ki keemat dekhi to mujhe laga ki woh bandar kya jaane adrak ka.
छोटा मुँह बड़ी बात,Talking beyond one's status.,"Small mouth, big talk.",Uska chhota munh badi baat karna sabko chaukata deta hai.
जख्म पर नमक छिड़कना,Adding to someone's pain.,Sprinkling salt on wounds.,Usne mere jakhm par namak chhidka jab usne meri asafalta ka mazak udaaya.
टक्कर खाना,To compete or confront.,To take a hit.,Bazaar mein pratispardha ke chalte humein takkar khana pada.
ठिकाने लगाना,To eliminate someone.,To put in place.,Usne apne dushmanon ko thikane lagane ki yojana banayi.
दिल बाग-बाग होना,Feeling extremely happy.,Heart blooming like a garden.,Uski safalta se uska dil bag-bag ho gaya.
आसमान सिर पर उठाना,To create a lot of noise or chaos.,To lift the sky on one's head.,Bachchon ne ghar mein aasman sir par utha liya.
नाक कटना,To lose respect or honor.,To have one's nose cut off.,Uski harkaton se parivaar ki naak kat gayi.
दाँत खट्टे करना,To defeat someone badly.,To make someone's teeth sour.,Police ne choron ke daant khatte kar diye.
आँखों में धूल झोंकना,To deceive someone.,To throw dust into someone's eyes.,Usne sabki aankhon mein dhool jhonk di.
दिल पर पत्थर रखना,To control emotions with difficulty.,To place a stone on the heart.,Usne dil par patthar rakhkar faisla liya.
हाथ मलना,To regret deeply.,To rub hands.,Mauka chookne par woh haath malta reh gaya.
खून खौलना,To feel extreme anger.,Blood boiling.,Anyaay dekh kar uska khoon khol gaya.
कान खड़े होना,To become alert.,Ears standing up.,Awaaz sunte hi uske kaan khade ho gaye.
पानी-पानी होना,To feel embarrassed.,To become water.,Sabke saamne woh pani-pani ho gaya.
आँख दिखाना,To threaten someone.,To show eyes.,Usne mujhe aankh dikhayi.
बाल-बाल बचना,To narrowly escape danger.,Saved by a hair.,Woh accident se baal-baal bach gaya.
नाक में दम करना,To annoy greatly.,To trouble someone's nose.,Bachchon ne meri naak mein dum kar diya.
