idiom_en,meaning_en,literal_en,sentence_en
Learning the ABCs,Knowledge of letters; the alphabet (referring to learning the basics),,
immature for one's age,Foolish; lack of age-appropriate behavior or intelligence,,
foolish beyond maturity,Foolish; lack of age-appropriate behavior or intelligence,,
Without an enemy in the world,One who has no enemies; one whose enemy has not been born; one who does not make enemies,,
Harmless as a dove,One who has no enemies; one whose enemy has not been born; one who does not make enemies,,
One way or another,At least one person or someone inevitably,,
Someone or other,At least one person or someone inevitably,,
Gasping for breath,"To breathe in and out with great difficulty, to be restless or anxious",,
In a flap,"To breathe in and out with great difficulty, to be restless or anxious",,
On pins and needles,"To breathe in and out with great difficulty, to be restless or anxious",,
The odd one out,A fool among the talented,,
A fish out of water,A fool among the talented,,
Crying for bread,Wailing or lamenting for food due to hunger and inability to procure sustenance,,
Begging for scraps,Wailing or lamenting for food due to hunger and inability to procure sustenance,,
love potion,A ball-shaped mixture of amla (Indian gooseberry) and other substances given to the groom to keep him under the bride's influence or control,,
under one's thumb,A ball-shaped mixture of amla (Indian gooseberry) and other substances given to the groom to keep him under the bride's influence or control,,
high command,The supreme body of a political party or organization,,
top brass,The supreme body of a political party or organization,,
inner circle,The supreme body of a political party or organization,,
Pulling the wool over someone's eyes,Attempting to fool or deceive someone naively,,
Taking someone for a ride,Attempting to fool or deceive someone naively,,
hijack,"To seize control of a vehicle like a bus, truck, or airplane by threat or force",,
House Surgeon,A doctor appointed for a specific period in a hospital,,
Medical Intern,A doctor appointed for a specific period in a hospital,,
Resident Doctor,A doctor appointed for a specific period in a hospital,,
To make a name for oneself,To become a respectable or notable person,,
To become somebody,To become a respectable or notable person,,
To rise to prominence,To become a respectable or notable person,,
to go hungry,"to go hungry, not eating anything",,
living on air,"to go hungry, not eating anything",,
Get some fresh air,To breathe fresh air,,
To fan the flames,To stir up excitement or incite,,
To add fuel to the fire,To stir up excitement or incite,,
To egg someone on,To stir up excitement or incite,,
get a second wind,To receive inspiration or encouragement,,
catch the wind in one's sails,To receive inspiration or encouragement,,
The winds of change,A shift in the country's situation aligned with the public's mindset and direction,,
A change in the wind,A shift in the country's situation aligned with the public's mindset and direction,,
change of air,Change of location for health recovery,,
to vanish into thin air,"to disappear suddenly, to vanish into thin air",,
to disappear without a trace,"to disappear suddenly, to vanish into thin air",,
"Alas, my fate!",Indication of misfortune or bad luck,,
Woe is me!,Indication of misfortune or bad luck,,
The law is the law,"Even if the judge or authority figure moves away or leaves, their order or command remains in effect",,
What is decreed stands,"Even if the judge or authority figure moves away or leaves, their order or command remains in effect",,
Down and out,"Shelterless and homeless, from a lowly lineage whose home echoes with wails due to extreme poverty",,
In the poorhouse,"Shelterless and homeless, from a lowly lineage whose home echoes with wails due to extreme poverty",,
Living in squalor,"Shelterless and homeless, from a lowly lineage whose home echoes with wails due to extreme poverty",,
Birds of a feather,Belonging to the same group; from the same community; people from the same clique,,
Two peas in a pod,Belonging to the same group; from the same community; people from the same clique,,
From the same mold,Belonging to the same group; from the same community; people from the same clique,,
Loan shark,"One who seizes others' property, a robber or extortionist",,
Shark (predatory person),"One who seizes others' property, a robber or extortionist",,
small talk,various or miscellaneous talk,,
chit-chat,various or miscellaneous talk,,
come what may,anyhow or no matter what,,
at any rate,anyhow or no matter what,,
be that as it may,anyhow or no matter what,,
continental breakfast,European-style meal or breakfast,,
light breakfast,European-style meal or breakfast,,
fed up with everything,irritation or boredom with everything,,
sick and tired of it all,irritation or boredom with everything,,
by the thousands,in large numbers or multitudes,,
in droves,in large numbers or multitudes,,
hordes,in large numbers or multitudes,,
a thousand and one,"many, numerous",,
countless,"many, numerous",,
myriad,"many, numerous",,
leave the door open,"to open up, to leave open",,
wide open,"to open up, to leave open",,
to make a mess,"To make disorganized, haphazard, or chaotic",,
to scatter about,"To make disorganized, haphazard, or chaotic",,
to throw into disarray,"To make disorganized, haphazard, or chaotic",,
spill the beans,to disclose or make public,,
air one's dirty laundry,to disclose or make public,,
Balancing the books,Final accounting or overall balance,,
Year-end reckoning,Final accounting or overall balance,,
Kick up a fuss,To create a commotion; to make noise or fuss,,
Raise a ruckus,To create a commotion; to make noise or fuss,,
Make a scene,To create a commotion; to make noise or fuss,,
Go to market,To buy goods from the market or go shopping,,
Hit the shops,To buy goods from the market or go shopping,,
Like a kid in a candy store,Someone whose eyes are dazzled by the variety of items in the market and cannot decide what to buy,,
