id,idiom_src,meaning_src,idiom_tgt,meaning_tgt,confidence,verified,lang_pair,mSBERT_score,LaBSE_score
1,অ আ ক খ,বর্ণজ্ঞান; বর্ণমালা,Learning the ABCs,,HIGH,False,bn-en,0.4207833409309387,0.3741708993911743
2,অকর্মার ধাড়ি,অকাজে অগ্রগণ্য; কোন কাজের নয়; নিতান্ত অলস ব্যক্তি,"good for nothing', 'lazybones', 'deadbeat', 'slacker",,HIGH,False,bn-en,,
3,অকলের শত্রু,মূর্খ,"blockhead', 'dunce",,HIGH,False,bn-en,,
4,অকস্মাৎ বজ্রপাত,অপ্রত্যাশিত বিপদ,"bolt from the blue', 'thunderbolt out of a clear sky",,HIGH,False,bn-en,,
5,অকাজের গোঁসাই,অনুচিত কাজ করতে মুখিয় থাকা ব্যক্তি,"busybody', 'meddler",,HIGH,False,bn-en,,
6,অকারণে হৈচৈ,অহেতুক চিন্তা,"Much ado about nothing', 'Worrying over nothing",,HIGH,False,bn-en,,
7,অকাল,দুর্ভিক্ষ,"lean times', 'hard times",,HIGH,False,bn-en,,
8,অকাল-অপক্ব,বোকা; বয়সোচিত ব্যবহার বা বুদ্ধির অভাব,"immature for one's age"", 'foolish beyond maturity",,HIGH,False,bn-en,,
9,অকালকুষ্মাণ্ড,অকর্মণ্য; অকেজো; অপদার্থ; কোন কাজের নয়; তিরস্কারস্থলেই ব্যবহৃত হয়,"Good-for-nothing', 'Dead weight', 'Useless lump",,HIGH,False,bn-en,,
10,অকালপক্ব,ডেঁপো; বয়সের তুলনায় বেশি পাকা; বালকবয়সে বড়দের মতো আচরণকারী,"Wise beyond one's years"", 'Old soul', 'Prematurely developed",,HIGH,False,bn-en,,
11,অকালবসন্ত,সময়ের আগেই সুখের সূচনা,"Bolt from the blue', 'Silver lining",,HIGH,False,bn-en,,
12,অকালবোধন,অনুপযুক্ত সময়ে কোন শুভ কাজের সূচনা,"jumping the gun', 'ill-timed action",,HIGH,False,bn-en,,
13,অকালমৃত্যু,পরিণত বয়সের আগে মৃত্যু,"Untimely death', ""Cut off in one's prime"", 'Die young",,HIGH,False,bn-en,,
14,অকালসন্ধ্যা,অসময়ে আগত সময়,before one's time,,HIGH,False,bn-en,0.5280059576034546,0.45658382773399353
15,অকালসন্ধ্যা,অসময়ে আগত সময়,cut down in one's prime,,HIGH,False,bn-en,0.3348095417022705,0.2602938413619995
16,অকালের বাদল,অপ্রত্যাশিত বাধা,"Bolt from the blue', 'Sudden setback",,HIGH,False,bn-en,,
17,অকালের তাল,অসময়ে প্রাপ্ত দ্রব্য,"Windfall', 'Untimely riches",,HIGH,False,bn-en,,
18,অকূল,কঠিন বিপদ; চরম মহাসংকট,"In deep water', 'Up the creek without a paddle', 'In dire straits",,HIGH,False,bn-en,,
19,অকূলতারণ,বিপদে যে রক্ষা করে এমন ব্যক্তি,"Knight in shining armor', 'Lifeline', 'Friend in need",,HIGH,False,bn-en,,
20,অকূলে কূল পাওয়া,নিরুপায় অবস্থা থেকে উদ্ধার পাওয়া; গভীর সঙ্কটে সাহায্য পাওয়া; মহাবিপদ থেকে উদ্ধার পাওয়া,"light at the end of the tunnel', 'a friend in need is a friend indeed', 'saved by the bell",,HIGH,False,bn-en,,
21,অকূলে ডোবা,ভীষণ বিপদ বা মহাসঙ্কটে পড়া,"In deep water', 'Drowning in trouble",,HIGH,False,bn-en,,
22,অকূলদরিয়ায় ভাসা,কঠিন বিপদে পড়ে দিশেহারা হওয়া,"Lost at sea', 'Adrift in deep waters",,HIGH,False,bn-en,,
23,অকূলের কূল,বিপদে ত্রাণকর্তা,"A port in a storm', 'Lifeline in trouble",,HIGH,False,bn-en,,
24,অকূলের ভেলা,একান্ত নিরুপায় অবস্থার শেষ অবলম্বন,"Clutching at straws', 'Last ditch effort",,HIGH,False,bn-en,,
25,অক্কা পাওয়া,কৌতুকে ঈশ্বরপ্রাপ্তি; মৃত্যু,"Kick the bucket', 'Pass away', ""Meet one's maker",,HIGH,False,bn-en,,
26,অক্টোপাস,চারিদিক থেকে আসা মারাত্মক আক্রমণ,"Besieged on all sides', 'Caught in the clutches",,HIGH,False,bn-en,,
27,অক্ষয়বট,অতিপ্রাচীন ব্যক্তি; অতিবৃদ্ধ ব্যক্তি,"old as Methuselah', 'ancient as the hills",,HIGH,False,bn-en,,
28,অক্ষর পরিচয়,সামান্যতম জ্ঞান,"Not know one's ABCs"", 'Zero knowledge of something",,HIGH,False,bn-en,,
29,অক্ষরজ্ঞান,প্রাথমিক শিক্ষা,know one's ABCs,,HIGH,False,bn-en,0.4498540163040161,0.3122246265411377
30,অক্ষরে অক্ষরে,কিছুমাত্র অন্যথা না করে; কোন ব্যতিক্রম না করে; যথাযথভাবে; সম্পূর্ণভাবে,"to the letter', 'word for word', 'by the book",,HIGH,False,bn-en,,
31,অক্সিজেন জোগানো,বাঁচার আশ্বাস পাওয়া; বিপদে ভরসা দেওয়া,"Throwing a lifeline', 'A breath of fresh air",,HIGH,False,bn-en,,
32,অখদ্যে অবদ্যে,অকর্মণ্য; অপদার্থ,"Good for nothing', 'Useless",,HIGH,False,bn-en,,
33,অখন-তখন অবস্থা,আশঙ্কাজনক অবস্থা; যেকোন সময় মারা যেতে পারে,"Touch and go', 'On the brink of death', 'Hanging by a thread",,HIGH,False,bn-en,,
34,অগতির গতি,অনন্যোপায়ের উপায়,"Last resort', 'Desperate measures",,HIGH,False,bn-en,,
35,অগত্যা মধুসূদন,অনন্যোপায় হয়ে; নিমরাজী,"By default', 'Grudgingly', 'As a last resort",,HIGH,False,bn-en,,
