"id","idiom_bn","meaning_bn","idiom_en","meaning_en","idiom_hi","meaning_hi","bridge_text","confidence","source_bn","verified"
"1","অ আ ক খ","বর্ণজ্ঞান; বর্ণমালা","Learning the ABCs","","बंदर क्या जाने अदरक का स्वाद","Someone with no knowledge or appreciation of a fine thing.","Knowledge of letters; the alphabet (referring to learning the basics)","HIGH","bagdhara","False"
"2","অকর্মার ধাড়ি","অকাজে অগ্রগণ্য; কোন কাজের নয়; নিতান্ত অলস ব্যক্তি","good for nothing', 'lazybones', 'deadbeat', 'slacker","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","Foremost in idleness; utterly useless; completely lazy person","HIGH","bagdhara","False"
"3","অকলের শত্রু","মূর্খ","blockhead', 'dunce","","उल्लू बनाना","To make a fool of someone; to dupe or trick someone.","a fool","HIGH","bagdhara","False"
"4","অকস্মাৎ বজ্রপাত","অপ্রত্যাশিত বিপদ","bolt from the blue', 'thunderbolt out of a clear sky","","आसमान टूट पड़ना","A sudden great calamity or disaster.","unexpected calamity","HIGH","bagdhara","False"
"5","অকাজের গোঁসাই","অনুচিত কাজ করতে মুখিয় থাকা ব্যক্তি","busybody', 'meddler","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","A person inclined to engage in inappropriate or futile activities","HIGH","bagdhara","False"
"6","অকারণে হৈচৈ","অহেতুক চিন্তা","Much ado about nothing', 'Worrying over nothing","","","","Unnecessary worry or baseless anxiety","HIGH","bagdhara","False"
"7","অকাল","দুর্ভিক্ষ","lean times', 'hard times","","","","famine","HIGH","bagdhara","False"
"8","অকাল-অপক্ব","বোকা; বয়সোচিত ব্যবহার বা বুদ্ধির অভাব","immature for one's age"", 'foolish beyond maturity","","अक्ल का दुश्मन होना","To be extremely foolish; to act in a way that defies all logic and reason.","Foolish; lack of age-appropriate behavior or intelligence","HIGH","bagdhara","False"
"9","অকালকুষ্মাণ্ড","অকর্মণ্য; অকেজো; অপদার্থ; কোন কাজের নয়; তিরস্কারস্থলেই ব্যবহৃত হয়","Good-for-nothing', 'Dead weight', 'Useless lump","","पाँचों उँगलियाँ घी में होना","To be very prosperous; to enjoy abundant wealth and good fortune.","Useless, worthless, inept, good for nothing; used in contexts of scorn or dismissal","HIGH","bagdhara","False"
"10","অকালপক্ব","ডেঁপো; বয়সের তুলনায় বেশি পাকা; বালকবয়সে বড়দের মতো আচরণকারী","Wise beyond one's years"", 'Old soul', 'Prematurely developed","","चादर से बाहर पैर फैलाना","To live beyond one's means; to spend more than one can afford.","Precocious; mature beyond one's years; someone who behaves like an adult during childhood","HIGH","bagdhara","False"
"11","অকালবসন্ত","সময়ের আগেই সুখের সূচনা","Bolt from the blue', 'Silver lining","","घी के दिए जलाना","To celebrate with great joy; to express happiness extravagantly.","The onset of happiness or prosperity before the expected time","HIGH","bagdhara","False"
"12","অকালবোধন","অনুপযুক্ত সময়ে কোন শুভ কাজের সূচনা","jumping the gun', 'ill-timed action","","मक्खी मारना","To be idle; to waste time doing nothing.","Initiating an auspicious activity at an inappropriate time","HIGH","bagdhara","False"
"13","অকালমৃত্যু","পরিণত বয়সের আগে মৃত্যু","Untimely death', ""Cut off in one's prime"", 'Die young","","बुढ़ापे की लाठी","The sole support in old age (usually a son or daughter).","Death before reaching mature age","HIGH","bagdhara","False"
"14","অকালসন্ধ্যা","অসময়ে আগত সময়","before one's time","","टेड़ी खीर होना","A very difficult task; something that is extremely challenging to accomplish.","time that arrives untimely","HIGH","bagdhara","False"
"15","অকালসন্ধ্যা","অসময়ে আগত সময়","cut down in one's prime","","टेड़ी खीर होना","A very difficult task; something that is extremely challenging to accomplish.","time that arrives untimely","HIGH","bagdhara","False"
"16","অকালের বাদল","অপ্রত্যাশিত বাধা","Bolt from the blue', 'Sudden setback","","बादल फटना","A sudden heavy downpour; unexpected calamity.","Unexpected obstacle","HIGH","bagdhara","False"
"17","অকালের তাল","অসময়ে প্রাপ্ত দ্রব্য","Windfall', 'Untimely riches","","बादल फटना","A sudden heavy downpour; unexpected calamity.","Something obtained at an untimely or unexpected moment","HIGH","bagdhara","False"
"18","অকূল","কঠিন বিপদ; চরম মহাসংকট","In deep water', 'Up the creek without a paddle', 'In dire straits","","अँगारे बरसना","To be scorching hot; extreme heat of the sun.","Extreme danger; severe crisis","HIGH","bagdhara","False"
"19","অকূলতারণ","বিপদে যে রক্ষা করে এমন ব্যক্তি","Knight in shining armor', 'Lifeline', 'Friend in need","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","A person who rescues or saves one in times of distress","HIGH","bagdhara","False"
"20","অকূলে কূল পাওয়া","নিরুপায় অবস্থা থেকে উদ্ধার পাওয়া; গভীর সঙ্কটে সাহায্য পাওয়া; মহাবিপদ থেকে উদ্ধার পাওয়া","light at the end of the tunnel', 'a friend in need is a friend indeed', 'saved by the bell","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","Rescue from a helpless situation; receiving help in a deep crisis; deliverance from great danger","HIGH","bagdhara","False"
"21","অকূলে ডোবা","ভীষণ বিপদ বা মহাসঙ্কটে পড়া","In deep water', 'Drowning in trouble","","अँगारे बरसना","To be scorching hot; extreme heat of the sun.","To fall into extreme danger or a great crisis","HIGH","bagdhara","False"
"22","অকূলদরিয়ায় ভাসা","কঠিন বিপদে পড়ে দিশেহারা হওয়া","Lost at sea', 'Adrift in deep waters","","अँगूठा चूसना","To act childishly despite being grown up; to behave immaturely.","Being lost and directionless in a severe crisis or predicament","HIGH","bagdhara","False"
"23","অকূলের কূল","বিপদে ত্রাণকর্তা","A port in a storm', 'Lifeline in trouble","","दिन में तारे दिखना","To be shocked or stunned; to experience extreme distress or bewilderment.","Savior in times of distress","HIGH","bagdhara","False"
"24","অকূলের ভেলা","একান্ত নিরুপায় অবস্থার শেষ অবলম্বন","Clutching at straws', 'Last ditch effort","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","The last resort in a completely helpless situation","HIGH","bagdhara","False"
"25","অক্কা পাওয়া","কৌতুকে ঈশ্বরপ্রাপ্তি; মৃত্যু","Kick the bucket', 'Pass away', ""Meet one's maker","","","","Euphemistically, attaining God; death","HIGH","bagdhara","False"
"26","অক্টোপাস","চারিদিক থেকে আসা মারাত্মক আক্রমণ","Besieged on all sides', 'Caught in the clutches","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","Deadly attack coming from all sides","HIGH","bagdhara","False"
"27","অক্ষয়বট","অতিপ্রাচীন ব্যক্তি; অতিবৃদ্ধ ব্যক্তি","old as Methuselah', 'ancient as the hills","","अंग-अंग फूले न समाना","To be overjoyed; extremely delighted.","Very ancient person; extremely old person","HIGH","bagdhara","False"
"28","অক্ষর পরিচয়","সামান্যতম জ্ঞান","Not know one's ABCs"", 'Zero knowledge of something","","आँख का तारा","To be the most beloved person; someone cherished above all others (apple of one's eye).","The slightest or most basic knowledge","HIGH","bagdhara","False"
