id,idiom_bn,literal_meaning,figurative_meaning_bn,figurative_meaning_en,similar_in_english,similar_in_english_str,example_sentences_bn,source
1,অ আ ক খ,প্রথম বাংলা বর্ণমালার অক্ষরসমূহ (the first letters of the Bengali alphabet),বর্ণজ্ঞান; বর্ণমালা,Knowledge of letters; the alphabet (referring to learning the basics),['Learning the ABCs'],Learning the ABCs,"['ছেলেটির অ আ ক খ শিখতেই ছয় মাস লেগে গেল।', 'স্কুলে প্রথমে অ আ ক খ শেখানো হয়।']",bagdhara
4,অকর্মার ধাড়ি,অলস বা অকর্মণ্য ব্যক্তির মাটির পাত্র (যা অকেজো বা অকার্যকরী হিসেবে বোঝায়),অকাজে অগ্রগণ্য; কোন কাজের নয়; নিতান্ত অলস ব্যক্তি,Foremost in idleness; utterly useless; completely lazy person,"['good for nothing', 'lazybones', 'deadbeat', 'slacker']",good for nothing; lazybones; deadbeat; slacker,"['সে কোনো কাজ করে না, একটা অকর্মার ধাড়ি।', 'এই অকর্মার ধাড়ির জন্য সবাই কষ্ট পায়।']",bagdhara
5,অকলের শত্রু,বুদ্ধি বা মস্তিষ্কের শত্রু (অকল অর্থাৎ বুদ্ধিহীনতার বা মস্তিষ্কের প্রতি শত্রুতা),মূর্খ,a fool,"['blockhead', 'dunce']",blockhead; dunce,"['সে এমন অকলের শত্রু যে কোনো প্রশ্নই মনে জাগে না তার।', 'এই অকলের শত্রু কাজটা ঠিকমতো বুঝতেই পারল না।']",bagdhara
6,অকস্মাৎ বজ্রপাত,অকস্মাৎ বজ্রপাত (sudden lightning strike),অপ্রত্যাশিত বিপদ,unexpected calamity,"['bolt from the blue', 'thunderbolt out of a clear sky']",bolt from the blue; thunderbolt out of a clear sky,"['তার চাকরি হারানোর খবরটি অকস্মাৎ বজ্রপাতের মতো এসে পড়ল।', 'পরিবারের সদস্যের মৃত্যুর সংবাদে অকস্মাৎ বজ্রপাত হল।']",bagdhara
7,অকাজের গোঁসাই,অকাজের (অকেজো বা নিষ্প্রয়োজনীয় কাজের) গোঁসাই (ভ্রাম্যমাণ ধর্মীয় সাধু বা গোস্বামী),অনুচিত কাজ করতে মুখিয় থাকা ব্যক্তি,A person inclined to engage in inappropriate or futile activities,"['busybody', 'meddler']",busybody; meddler,"['সে তো অকাজের গোঁসাই, সবসময় ফাজলামিতে লিপ্ত থাকে।', 'গ্রামের ওই লোকটি অকাজের গোঁসাই বলে পরিচিত, কোনো কাজে মন দিতে পারে না।']",bagdhara
8,অকারণে হৈচৈ,অকারণে উত্তেজনা বা হট্টগোল,অহেতুক চিন্তা,Unnecessary worry or baseless anxiety,"['Much ado about nothing', 'Worrying over nothing']",Much ado about nothing; Worrying over nothing,"['সে অকারণে হৈচৈ করছে, কোনো সমস্যা আসলে নেই।', 'এই অকারণে হৈচৈ করে লাভ কী? শান্ত হও।']",bagdhara
9,অকাল,অকালে (অসময়ে বা অযথা),দুর্ভিক্ষ,famine,"['lean times', 'hard times']",lean times; hard times,"['গ্রামে অকাল পড়ায় সবাই কষ্ট পাচ্ছে।', 'অকালের সময় মানুষ যা-তা খেয়ে বেঁচে থাকে।']",bagdhara
10,অকাল-অপক্ব,অকাল (অসময়ে) + অপক্ব (অপরিপক্ক বা অপক্ব),বোকা; বয়সোচিত ব্যবহার বা বুদ্ধির অভাব,Foolish; lack of age-appropriate behavior or intelligence,"[""immature for one's age"", 'foolish beyond maturity']",immature for one's age; foolish beyond maturity,"['সে তার বয়সের জন্য অকাল-অপক্ব ব্যবহার করে।', 'এই অকাল-অপক্ব সিদ্ধান্ত নেওয়া উচিত নয়।']",bagdhara
11,অকালকুষ্মাণ্ড,অকালে জন্ম নেওয়া কুসুমাণ্ড (লাউ বা কুমড়ো) যা বলিদানের উপযুক্ত নয়,অকর্মণ্য; অকেজো; অপদার্থ; কোন কাজের নয়; তিরস্কারস্থলেই ব্যবহৃত হয়,"Useless, worthless, inept, good for nothing; used in contexts of scorn or dismissal","['Good-for-nothing', 'Dead weight', 'Useless lump']",Good-for-nothing; Dead weight; Useless lump,"['সে একটা অকালকুষ্মাণ্ড মানুষ, কোনো কাজেই লাগে না।', 'এই ছেলেটা সম্পূর্ণ অকালকুষ্মাণ্ড, পড়াশোনায় বা কাজে একদম অযোগ্য।']",bagdhara
13,অকালপক্ব,অকালে পাকা (untimely ripe),ডেঁপো; বয়সের তুলনায় বেশি পাকা; বালকবয়সে বড়দের মতো আচরণকারী,Precocious; mature beyond one's years; someone who behaves like an adult during childhood,"[""Wise beyond one's years"", 'Old soul', 'Prematurely developed']",Wise beyond one's years; Old soul; Prematurely developed,"['সে অকালপক্ব ছেলে, তার বয়সের তুলনায় অনেক বেশি পরিণত চিন্তাভাবনা করে।', 'অকালপক্বতার কারণে মেয়েটি বন্ধুদের থেকে আলাদা হয়ে যায়।']",bagdhara
14,অকালবসন্ত,অকালে বসন্ত (untimely spring),সময়ের আগেই সুখের সূচনা,The onset of happiness or prosperity before the expected time,"['Bolt from the blue', 'Silver lining']",Bolt from the blue; Silver lining,"['আমার জীবনে হঠাৎ অকালবসন্ত এসেছে, লটারিতে জিতে গেছি।', 'দুর্ভাগ্যের মধ্যে তার জন্য অকালবসন্ত হলো চাকরির অফার।']",bagdhara
15,অকালবোধন,অকালে বোধন বা জাগরণ,অনুপযুক্ত সময়ে কোন শুভ কাজের সূচনা,Initiating an auspicious activity at an inappropriate time,"['jumping the gun', 'ill-timed action']",jumping the gun; ill-timed action,"['এখনই ব্যবসা শুরু করা অকালবোধনের মতো হবে।', 'তার পরিকল্পনা সম্পূর্ণ অকালবোধন।']",bagdhara
16,অকালমৃত্যু,অকাল (অসময়ে) + মৃত্যু (মৃত্যু),পরিণত বয়সের আগে মৃত্যু,Death before reaching mature age,"['Untimely death', ""Cut off in one's prime"", 'Die young']",Untimely death; Cut off in one's prime; Die young,"['তার অকালমৃত্যু পরিবারকে বিধ্বস্ত করে দিয়েছে।', 'এই দুর্ঘটনায় তার অকালমৃত্যু ঘটেছে।']",bagdhara
17,অকালসন্ধ্যা,অকালে আগত সন্ধ্যা (untimely evening),অসময়ে আগত সময়,time that arrives untimely,"[""before one's time"", ""cut down in one's prime""]",before one's time; cut down in one's prime,"['তার জীবন অকালসন্ধ্যায় মিলিয়ে গেল।', 'এই অকালসন্ধ্যায় সবাই বিচলিত হয়ে পড়ল।']",bagdhara
19,অকালের বাদল,অকালে (অপ্রত্যাশিত সময়ে) বাদল (মেঘ বা বর্ষার মেঘ),অপ্রত্যাশিত বাধা,Unexpected obstacle,"['Bolt from the blue', 'Sudden setback']",Bolt from the blue; Sudden setback,"['পরীক্ষার ঠিক আগে অকালের বাদল পড়ে গেল, যাতে প্রস্তুতি নষ্ট হয়ে গেল।', 'বিয়ের দিন অকালের বাদল এসে সবাইকে হতাশ করল।']",bagdhara
20,অকালের তাল,অকালের (অসময়ের) তাল (তাল গাছের কাঠ বা ফল),অসময়ে প্রাপ্ত দ্রব্য,Something obtained at an untimely or unexpected moment,"['Windfall', 'Untimely riches']",Windfall; Untimely riches,"['সে অকালের তাল পেয়ে হঠাৎ ধনী হয়ে গেল।', 'এই অকালের তাল তার জীবন বদলে দিল।']",bagdhara
21,অকূল,কূলবিহীন নদী বা সমুদ্র (shoreless river or sea),কঠিন বিপদ; চরম মহাসংকট,Extreme danger; severe crisis,"['In deep water', 'Up the creek without a paddle', 'In dire straits']",In deep water; Up the creek without a paddle; In dire straits,"['বাবা মারা যাওয়ায় আমি অকূলে পড়েছি।', 'ব্যবসায়ের লোকসানে সে অকূলদরিয়ায় ভেসে যাচ্ছে।']",bagdhara
22,অকূলতারণ,কূলবিহীন সমুদ্র পারাপারকারী বা উদ্ধারকারী,বিপদে যে রক্ষা করে এমন ব্যক্তি,A person who rescues or saves one in times of distress,"['Knight in shining armor', 'Lifeline', 'Friend in need']",Knight in shining armor; Lifeline; Friend in need,"['সে আমার অকূলতারণ, সবসময় বিপদে সাহায্য করে।', 'জীবনে একজন অকূলতারণ পেলে সবকিছু সহজ হয়ে যায়।']",bagdhara
23,অকূলে কূল পাওয়া,অকূল অর্থাৎ গভীর জলের মাঝে কূল বা তীর পাওয়া,নিরুপায় অবস্থা থেকে উদ্ধার পাওয়া; গভীর সঙ্কটে সাহায্য পাওয়া; মহাবিপদ থেকে উদ্ধার পাওয়া,Rescue from a helpless situation; receiving help in a deep crisis; deliverance from great danger,"['light at the end of the tunnel', 'a friend in need is a friend indeed', 'saved by the bell']",light at the end of the tunnel; a friend in need is a friend indeed; saved by the bell,"['যখন সে ঋণের জালে আটকে পড়েছিল, তখন বন্ধুর সাহায্যে অকূলে কূল পেয়ে উঠল।', 'বিপদের মুহূর্তে তার ভাই এসে অকূলে কূল দেখিয়ে দিল।']",bagdhara
24,অকূলে ডোবা,কূলহীন স্থানে ডুবে যাওয়া বা পড়ে যাওয়া,ভীষণ বিপদ বা মহাসঙ্কটে পড়া,To fall into extreme danger or a great crisis,"['In deep water', 'Drowning in trouble']",In deep water; Drowning in trouble,"['ব্যবসায়ের কারণে সে অকূলে ডুবে গেছে।', 'এই সিদ্ধান্ত নেওয়ায় পরিবারটি অকূলে পড়ল।']",bagdhara
25,অকূলদরিয়ায় ভাসা,কূলবিহীন সমুদ্রে ভাসা,কঠিন বিপদে পড়ে দিশেহারা হওয়া,Being lost and directionless in a severe crisis or predicament,"['Lost at sea', 'Adrift in deep waters']",Lost at sea; Adrift in deep waters,"['ব্যবসায়ের কারণে সে অকূলদরিয়ায় ভাসার মতো হয়ে গেছে।', 'জীবনের এই সংকটে আমরা সকলে অকূলদরিয়ায় ভাসছি।']",bagdhara
26,অকূলের কূল,অকূলের (অশান্ত সমুদ্র বা অসীমতার) কূল (তীর),বিপদে ত্রাণকর্তা,Savior in times of distress,"['A port in a storm', 'Lifeline in trouble']",A port in a storm; Lifeline in trouble,"['বিপদের মুহূর্তে তার সাহায্য অকূলের কূলের মতো ছিল।', 'যখন সবাই পরিত্যাগ করল, তখন সে অকূলের কূল হয়ে উঠল।']",bagdhara
27,অকূলের ভেলা,কূলবিহীন সমুদ্রের ভেলা,একান্ত নিরুপায় অবস্থার শেষ অবলম্বন,The last resort in a completely helpless situation,"['Clutching at straws', 'Last ditch effort']",Clutching at straws; Last ditch effort,"['আর্থিক সংকটে পড়ে সে অকূলের ভেলার মতো তার শেষ আশ্রয় খুঁজছে।', 'বিপদে পড়ে তার কোনো উপায় নেই, সে অকূলের ভেলার মতো দোয়েলা।']",bagdhara
28,অক্কা পাওয়া,অংশ বা পালা পাওয়া (to receive one's share or turn),কৌতুকে ঈশ্বরপ্রাপ্তি; মৃত্যু,"Euphemistically, attaining God; death","['Kick the bucket', 'Pass away', ""Meet one's maker""]",Kick the bucket; Pass away; Meet one's maker,"['বুড়ো মানুষটি গত রাতে অক্কা পেয়েছে।', 'সে অক্কা পাওয়ার পর পরিবার শোকাহত হয়ে পড়ল।']",bagdhara
29,অক্টোপাস,অক্টোপাস (সমুদ্রের একটি প্রাণী যার আটটি পা আছে),চারিদিক থেকে আসা মারাত্মক আক্রমণ,Deadly attack coming from all sides,"['Besieged on all sides', 'Caught in the clutches']",Besieged on all sides; Caught in the clutches,"['ব্যবসায়ের নানা সমস্যা তাকে অক্টোপাসের মতো জড়িয়ে ধরেছে।', 'রাজনৈতিক চাপে সে অক্টোপাসের ফাঁদে পড়েছে।']",bagdhara
30,অক্ষয়বট,অক্ষয় (অবিনশ্বর বা চিরস্থায়ী) বট (বটগাছ),অতিপ্রাচীন ব্যক্তি; অতিবৃদ্ধ ব্যক্তি,Very ancient person; extremely old person,"['old as Methuselah', 'ancient as the hills']",old as Methuselah; ancient as the hills,"['সে অক্ষয়বটের মতো বুড়ো হয়েও সক্রিয় থাকেন।', 'গ্রামের সেই অক্ষয়বটের মতো লোকটি সবার কাছে সম্মানিত।']",bagdhara
31,অক্ষর পরিচয়,অক্ষর বা অক্ষরমালার জ্ঞান বা পরিচয়,সামান্যতম জ্ঞান,The slightest or most basic knowledge,"[""Not know one's ABCs"", 'Zero knowledge of something']",Not know one's ABCs; Zero knowledge of something,"['এই বিষয়ে আমার অক্ষর পরিচয় নেই।', 'তার কাছে বিজ্ঞানের অক্ষর জ্ঞানও নেই।']",bagdhara
32,অক্ষরজ্ঞান,অক্ষরের জ্ঞান বা পরিচয়,প্রাথমিক শিক্ষা,Basic education or elementary literacy,"[""know one's ABCs""]",know one's ABCs,"['তার এখনো অক্ষরজ্ঞান হয়নি, সে খেলতে ব্যস্ত।', 'শিশুটির অক্ষরপরিচয় হলে স্কুলে ভর্তি করব।']",bagdhara
33,অক্ষরে অক্ষরে,অক্ষর অনুসারে অক্ষর; শব্দশঃ,কিছুমাত্র অন্যথা না করে; কোন ব্যতিক্রম না করে; যথাযথভাবে; সম্পূর্ণভাবে,without any deviation; exactly as specified; to the letter; completely and precisely,"['to the letter', 'word for word', 'by the book']",to the letter; word for word; by the book,"['তার নির্দেশ আমি অক্ষরে অক্ষরে পালন করেছি।', 'চুক্তিটি অক্ষরে অক্ষরে মেনে চলতে হবে।']",bagdhara
34,অক্সিজেন জোগানো,অক্সিজেন সরবরাহ করা,বাঁচার আশ্বাস পাওয়া; বিপদে ভরসা দেওয়া,Receiving hope of survival; providing assurance in danger,"['Throwing a lifeline', 'A breath of fresh air']",Throwing a lifeline; A breath of fresh air,"['আর্থিক সংকটে তার বন্ধুর সাহায্য অক্সিজেন জোগানোর মতো ছিল।', 'ডাক্তারের কথা শুনে রোগীর পরিবারের মনে অক্সিজেন জোগানো হলো।']",bagdhara
35,অখদ্যে অবদ্যে,"খাওয়ায় অক্ষম, পান করায় অক্ষম (কোনো কাজেই অযোগ্য)",অকর্মণ্য; অপদার্থ,Incompetent; worthless,"['Good for nothing', 'Useless']",Good for nothing; Useless,"['তোমার মতো অখদ্যে অবদ্যেকে দিয়ে এ কাজ হবে না।', 'সে এতটাই অখদ্যে অবদ্যে যে কোনো দায়িত্ব নিতে পারে না।']",bagdhara
36,অখন-তখন অবস্থা,এখন-তখনের অবস্থা (অনিশ্চিত বা অস্থির অবস্থা),আশঙ্কাজনক অবস্থা; যেকোন সময় মারা যেতে পারে,Precarious condition; could die at any moment,"['Touch and go', 'On the brink of death', 'Hanging by a thread']",Touch and go; On the brink of death; Hanging by a thread,"['রোগীর অবস্থা অখন-তখন হয়ে গেছে, ডাক্তাররা সতর্ক করে দিয়েছে।', 'যুদ্ধের সময় সৈনিকের অবস্থা ছিল অখন-তখন।']",bagdhara
37,অগতির গতি,অগতির (যার কোনো গতি বা উপায় নেই তার) গতি (পথ বা উপায়),অনন্যোপায়ের উপায়,A way out when there is no other alternative,"['Last resort', 'Desperate measures']",Last resort; Desperate measures,"['এখন তো অগতির গতি ছাড়া কোনো উপায় নেই।', 'সে অগতির গতিতে সেই সিদ্ধান্ত নিল।']",bagdhara
40,অগত্যা মধুসূদন,"অগত্যা (অসহায়ভাবে বা অনিচ্ছায়); মধুসূদন (নাম, মাইকেল মধুসূদন দত্তের প্রতি ইঙ্গিত)",অনন্যোপায় হয়ে; নিমরাজী,Out of necessity; reluctantly,"['By default', 'Grudgingly', 'As a last resort']",By default; Grudgingly; As a last resort,"['কেউ যখন রাজী নয় তখন অগত্যা মধুসূদন, আমিই এই কাজ করবো।', 'পার্টিতে কেউ গান গাইতে চায় না, তাই অগত্যা মধুসূদন হয়ে আমাকে গাইতে হলো।']",bagdhara
41,অগভীর জলের পুঁটিমাছ,অগভীর জলের ছোট মাছ,অল্প ধন/বিদ্যা নিয়ে বড়াইকারী লোক,A person who boasts despite having little wealth or knowledge,"['Big fish in a small pond', 'All hat and no cattle']",Big fish in a small pond; All hat and no cattle,"['সে অগভীর জলের পুঁটিমাছের মতো তার সামান্য জ্ঞান নিয়ে সবাইকে শেখাতে চায়।', 'গ্রামের এই ছেলেটি শহরে গিয়ে অগভীর জলের পুঁটিমাছের ভঙ্গিতে বড়াই করছে।']",bagdhara
42,অগর-মগর করা,অগর-মগর (অস্পষ্ট বা আওয়াজময় শব্দ) করে কাজ করা বা বক্তব্য প্রকাশ করা,নানা অজুহাত দেখানো; কিছু করা বা না করার পক্ষে নানা অজুহাত/ওজর/যুক্তি দেখানো,"To make various excuses; to present multiple pretexts, reasons, or arguments for doing or not doing something","['Beat around the bush', 'Hem and haw', 'Make excuses']",Beat around the bush; Hem and haw; Make excuses,"['সে পরীক্ষা দেওয়ার জন্য অগর-মগর করতে লাগল।', 'বসের প্রশ্নের উত্তরে কর্মচারী অগর-মগর করছে।']",bagdhara
43,অগস্ত্যযাত্রা,অগস্ত্যের যাত্রা,"চিরদিনের জন্য প্রস্থান; শেষযাত্রা, যে-যাত্রায় বিদেশযাত্রী আর ঘরে ফিরে আসে না",Permanent departure; final journey from which the traveler does not return home,"['One-way trip', 'Final journey', 'Journey to the great beyond']",One-way trip; Final journey; Journey to the great beyond,"['তার অগস্ত্যযাত্রা হয়েছে, আর কখনো ফিরবে না।', 'পিতার অগস্ত্যযাত্রায় সকলে শোকাহত।']",bagdhara
45,অগা,অগা: নির্বোধ বা অলস ব্যক্তির প্রতি ইঙ্গিতকর স্ল্যাঙ্গ (পুরনো উপভাষায় অজ্ঞ বা মূর্খের অর্থে ব্যবহৃত),"বিদ্রুপে নির্বোধ, অকর্মা বলে গালি; স্নেহযুক্ত তিরস্কারে অগাকান্ত ও অগারাম; তুচ্ছার্থক তিরস্কারে অগামারা",Derogatorily used to insult someone as foolish or lazy; in affectionate scolding as 'ogākānta' or 'ogārām'; in trivial or light-hearted rebuke as 'ogāmārā',"['lazybones', 'good-for-nothing', 'numbskull']",lazybones; good-for-nothing; numbskull,"['তুমি তো একটা অগা, সারাদিন শুয়ে থাকো!', 'বাবা, অগাকান্ত ছেলে, একটু কাজ করো তো!']",bagdhara
46,অগাধ জল,অগাধ (অপরিমেয় গভীরতাসম্পন্ন) জল বা সমুদ্র,চরম বিপদ,Extreme danger or dire straits,"['in deep water', 'drowning in trouble']",in deep water; drowning in trouble,"['চাকরিটা চলে যাওয়ায় অগাধ জলে পড়েছি।', 'এই সিদ্ধান্ত নেওয়ায় আমরা অগাধ সমুদ্রে ডুবে যাব।']",bagdhara
47,অগাধ জলের মাছ,অগাধ (অপরিমেয় গভীর) জলের মাছ,খুব চালাক লোক; সুচতুর ব্যক্তি; যার মনোভাব বোঝা যায় না,A very clever person; a shrewd individual; someone whose mindset or intentions are hard to fathom,"['Still waters run deep', 'A dark horse']",Still waters run deep; A dark horse,"['সে অগাধ জলের মাছ, কখনো বুঝতে পারি না তার পরিকল্পনা কী।', 'ব্যবসায়ে সফল হওয়ার জন্য তাকে অগাধ জলের মাছ হয়ে থাকতে হবে।']",bagdhara
48,অগ্নি-অবতার,Incarnation of fire,অতি ক্রুদ্ধব্যক্তি,An extremely angry person,"['burning with rage', 'a raging inferno of anger']",burning with rage; a raging inferno of anger,"['তার ক্রোধ দেখে মনে হলো সে অগ্নি-অবতার হয়ে উঠেছে।', 'সভায় তার বক্তৃতা শুনে শত্রুরা ভয় পেয়ে গেল, যেন অগ্নি-অবতার এসেছে।']",bagdhara
50,অগ্নিকন্যা,অগ্নির কন্যা (fire's daughter),অতিতেজস্বী নারী,A woman with an extremely fiery temperament,"['Spitfire', 'Firecracker (for a spirited or hot-tempered woman)']",Spitfire; Firecracker (for a spirited or hot-tempered woman),"['সে একটা অগ্নিকন্যা, সামান্য কথায়ই রাগে ফেটে পড়ে।', 'অফিসে তার অগ্নিকন্যার মতো স্বভাব সবাইকে ভয় পাইয়ে দেয়।']",bagdhara
51,অগ্নিকাণ্ড,অগ্নির ঘটনা বা দুর্ঘটনা,বিষম অনর্থ; তুলকালামকাণ্ড; তুমুল ঝগড়াবিবাদ; প্রচণ্ড মারামারি,a major calamity; a catastrophic event; intense quarrel and dispute; fierce fighting,"['all hell breaking loose', 'a firestorm', 'blow up']",all hell breaking loose; a firestorm; blow up,"['সংসারে অগ্নিকাণ্ড চলছে, সবাই কান্নাকাটি করছে।', 'পাড়ায় অগ্নিকাণ্ড হয়েছে, দুই পক্ষের মধ্যে তুমুল হুল্লোড়।']",bagdhara
52,অগ্নিগর্ভ,অগ্নির গর্ভ (fire's womb),অত্যন্ত উত্তেজনাপূর্ণ; উত্তপ্ত,extremely exciting; heated or volatile,"['powder keg', 'tinderbox']",powder keg; tinderbox,"['সভাটি অগ্নিগর্ভ পরিস্থিতিতে পরিণত হয়েছে।', 'তার বক্তৃতা অগ্নিগর্ভ ছিল, সকলে উত্তেজিত হয়ে উঠল।']",bagdhara
53,অগ্নিচক্ষু,অগ্নির চোখ (eyes of fire),কঠোর দৃষ্টি,stern or piercing gaze,"['look daggers at someone', 'fiery stare']",look daggers at someone; fiery stare,"['তার অগ্নিচক্ষু দেখে শিশুরা কাঁপতে লাগল।', 'বাবার অগ্নিচক্ষুতে ছেলেটি নীরব হয়ে গেল।']",bagdhara
54,অগ্নিদাতা,অগ্নির দাতা (fire giver),হিন্দুদের মধ্যে যে মৃতের মুখাগ্নি করে,"In Hindu tradition, the person who performs the ritual of lighting the funeral pyre by touching the mouth of the deceased",[],,"['পিতার মৃত্যুর পর তিনি অগ্নিদাতা হিসেবে কর্তব্য পালন করেন।', 'পারিবারিক ঐতিহ্য অনুসারে জ্যেষ্ঠ পুত্রই অগ্নিদাতা হন।']",bagdhara
55,অগ্নিপরীক্ষা,অগ্নির পরীক্ষা (fire test),কঠিন পরীক্ষা; কঠিন পরিস্থিতির সম্মুখীন,a severe test; facing a difficult situation,"['trial by fire', 'baptism of fire']",trial by fire; baptism of fire,"['তার নতুন চাকরিটি তার জন্য একটি সত্যিকারের অগ্নিপরীক্ষা।', 'জীবনের এই কঠিন সময়টি আমাদের অগ্নিপরীক্ষা হয়ে উঠেছে।']",bagdhara
56,অগ্নিবর্ধক,অগ্নি (fire) + বর্ধক (increaser); fire enhancer,ক্ষুধাবর্ধক; পরিপাকশক্তিবর্শক,Appetite stimulant; digestion enhancer,"['whet the appetite', 'appetizer']",whet the appetite; appetizer,"['এই স্যালাডটি খুব ভালো অগ্নিবর্ধক।', 'চা-কফির পর অগ্নিবর্ধক খাবার খাওয়া উচিত।']",bagdhara
57,অগ্নিবর্ষণ,অগ্নির বর্ষণ (fire showering or raining fire),ক্রোধপ্রকাশ,expression of anger or outburst of rage,"['breathing fire', 'raining fire and brimstone']",breathing fire; raining fire and brimstone,"['তার ক্রোধ অগ্নিবর্ষণের মতো হয়ে উঠল যখন সে অপমানিত বোধ করল।', 'সভায় বক্তার কথায় অগ্নিবর্ষণ হয়ে গেল, সকলে চুপ হয়ে গেল।']",bagdhara
58,অগ্নিবল,অগ্নির বল বা শক্তি (fire's strength),ক্ষুধা,intense hunger,"['fire in the belly', 'burning hunger']",fire in the belly; burning hunger,"['দিনকয়েক না খেয়ে তার অগ্নিবল জ্বলে উঠেছে।', 'গরিবের জীবনে অগ্নিবলই সবচেয়ে বড় শত্রু।']",bagdhara
59,অগ্নিবাণ,অগ্নির বাণ (অর্থাৎ জ্বলন্ত তীর),চরম আঘাত,a severe or ultimate blow,"['a bolt from the blue', 'a devastating strike']",a bolt from the blue; a devastating strike,"['তার কথাগুলো আমার মনে অগ্নিবাণের মতো বিঁধল।', 'শত্রুরা হঠাৎ আক্রমণ করে অগ্নিবাণ ছুড়ে দিল।']",bagdhara
61,অগ্নিবৃদ্ধি,অগ্নির বৃদ্ধি (fire's increase),ক্ষুধাবৃদ্ধি; পরিপাকশক্তি বৃদ্ধি,Increase in hunger; increase in digestive power,['work up an appetite'],work up an appetite,"['দিনভর কৃষিকাজ করার পর তার অগ্নিবৃদ্ধি হয়েছে।', 'ব্যায়াম করলে শরীরে অগ্নিবৃদ্ধি হয় এবং খিদে বাড়ে।']",bagdhara
62,অগ্নিমান্দ্য,অগ্নির মন্দতা (digestive fire's weakness),অক্ষুধা; অজীর্ণ রোগ; পরিপাকশক্তির অল্পতা; মন্দাগ্নি,indigestion; dyspepsia; weakness of digestive power; sluggish digestion,"['indigestion', 'weak stomach']",indigestion; weak stomach,"['তার অগ্নিমান্দ্যের কারণে খাবার হজম হচ্ছে না।', 'বয়স বাড়ার সাথে সাথে অগ্নিমান্দ্যের সমস্যা বেড়ে যায়।']",bagdhara
63,অগ্নিমূর্তি,অগ্নির মূর্তি (fire's form or image of fire),অতিশয় ক্রুদ্ধ,extremely angry or furious,"['seeing red', 'burning with rage', 'like a fire-breathing dragon']",seeing red; burning with rage; like a fire-breathing dragon,"['বস্তুতালার ঘটনায় বাবা অগ্নিমূর্তি হয়ে উঠলেন।', 'ম্যানেজারের ভুলের জন্য বস অগ্নিমূর্তি ধারণ করেছেন।']",bagdhara
64,অগ্নিমূল্য,অগ্নির মূল্য (fire's price),অত্যন্ত আক্রা; চড়াদাম,Extremely expensive; exorbitant prices,"['Sky-high prices', 'Cost an arm and a leg']",Sky-high prices; Cost an arm and a leg,"['আজকাল সবকিছুর অগ্নিমূল্য হয়ে গেছে।', 'বাজারে চালের অগ্নিমূল্য দেখে সবাই হতাশ।']",bagdhara
