id,idiom_src,meaning_src,idiom_tgt,meaning_tgt,confidence,verified,lang_pair
1,অ আ ক খ,বর্ণজ্ঞান; বর্ণমালা,बंदर क्या जाने अदरक का स्वाद,Someone with no knowledge or appreciation of a fine thing.,HIGH,False,bn-hi
2,অকর্মার ধাড়ি,অকাজে অগ্রগণ্য; কোন কাজের নয়; নিতান্ত অলস ব্যক্তি,"शैतान का नाम लिया, शैतान हाजिर",Speak of the devil; the person you were just talking about suddenly appears.,HIGH,False,bn-hi
3,অকলের শত্রু,মূর্খ,उल्लू बनाना,To make a fool of someone; to dupe or trick someone.,HIGH,False,bn-hi
4,অকস্মাৎ বজ্রপাত,অপ্রত্যাশিত বিপদ,आसमान टूट पड़ना,A sudden great calamity or disaster.,HIGH,False,bn-hi
5,অকাজের গোঁসাই,অনুচিত কাজ করতে মুখিয় থাকা ব্যক্তি,"शैतान का नाम लिया, शैतान हाजिर",Speak of the devil; the person you were just talking about suddenly appears.,HIGH,False,bn-hi
8,অকাল-অপক্ব,বোকা; বয়সোচিত ব্যবহার বা বুদ্ধির অভাব,अक्ल का दुश्मन होना,To be extremely foolish; to act in a way that defies all logic and reason.,HIGH,False,bn-hi
9,অকালকুষ্মাণ্ড,অকর্মণ্য; অকেজো; অপদার্থ; কোন কাজের নয়; তিরস্কারস্থলেই ব্যবহৃত হয়,पाँचों उँगलियाँ घी में होना,To be very prosperous; to enjoy abundant wealth and good fortune.,HIGH,False,bn-hi
10,অকালপক্ব,ডেঁপো; বয়সের তুলনায় বেশি পাকা; বালকবয়সে বড়দের মতো আচরণকারী,चादर से बाहर पैर फैलाना,To live beyond one's means; to spend more than one can afford.,HIGH,False,bn-hi
11,অকালবসন্ত,সময়ের আগেই সুখের সূচনা,घी के दिए जलाना,To celebrate with great joy; to express happiness extravagantly.,HIGH,False,bn-hi
12,অকালবোধন,অনুপযুক্ত সময়ে কোন শুভ কাজের সূচনা,मक्खी मारना,To be idle; to waste time doing nothing.,HIGH,False,bn-hi
13,অকালমৃত্যু,পরিণত বয়সের আগে মৃত্যু,बुढ़ापे की लाठी,The sole support in old age (usually a son or daughter).,HIGH,False,bn-hi
14,অকালসন্ধ্যা,অসময়ে আগত সময়,टेड़ी खीर होना,A very difficult task; something that is extremely challenging to accomplish.,HIGH,False,bn-hi
15,অকালসন্ধ্যা,অসময়ে আগত সময়,टेड़ी खीर होना,A very difficult task; something that is extremely challenging to accomplish.,HIGH,False,bn-hi
16,অকালের বাদল,অপ্রত্যাশিত বাধা,बादल फटना,A sudden heavy downpour; unexpected calamity.,HIGH,False,bn-hi
17,অকালের তাল,অসময়ে প্রাপ্ত দ্রব্য,बादल फटना,A sudden heavy downpour; unexpected calamity.,HIGH,False,bn-hi
18,অকূল,কঠিন বিপদ; চরম মহাসংকট,अँगारे बरसना,To be scorching hot; extreme heat of the sun.,HIGH,False,bn-hi
19,অকূলতারণ,বিপদে যে রক্ষা করে এমন ব্যক্তি,कान का उल्लू होना,To be a foolish or naive person who is easily fooled.,HIGH,False,bn-hi
20,অকূলে কূল পাওয়া,নিরুপায় অবস্থা থেকে উদ্ধার পাওয়া; গভীর সঙ্কটে সাহায্য পাওয়া; মহাবিপদ থেকে উদ্ধার পাওয়া,चौड़े बेंकर सोना,To be free from all worries; to be completely carefree.,HIGH,False,bn-hi
21,অকূলে ডোবা,ভীষণ বিপদ বা মহাসঙ্কটে পড়া,अँगारे बरसना,To be scorching hot; extreme heat of the sun.,HIGH,False,bn-hi
22,অকূলদরিয়ায় ভাসা,কঠিন বিপদে পড়ে দিশেহারা হওয়া,अँगूठा चूसना,To act childishly despite being grown up; to behave immaturely.,HIGH,False,bn-hi
23,অকূলের কূল,বিপদে ত্রাণকর্তা,दिन में तारे दिखना,To be shocked or stunned; to experience extreme distress or bewilderment.,HIGH,False,bn-hi
24,অকূলের ভেলা,একান্ত নিরুপায় অবস্থার শেষ অবলম্বন,चौड़े बेंकर सोना,To be free from all worries; to be completely carefree.,HIGH,False,bn-hi
26,অক্টোপাস,চারিদিক থেকে আসা মারাত্মক আক্রমণ,चौड़े बेंकर सोना,To be free from all worries; to be completely carefree.,HIGH,False,bn-hi
27,অক্ষয়বট,অতিপ্রাচীন ব্যক্তি; অতিবৃদ্ধ ব্যক্তি,अंग-अंग फूले न समाना,To be overjoyed; extremely delighted.,HIGH,False,bn-hi
28,অক্ষর পরিচয়,সামান্যতম জ্ঞান,आँख का तारा,To be the most beloved person; someone cherished above all others (apple of one's eye).,HIGH,False,bn-hi
29,অক্ষরজ্ঞান,প্রাথমিক শিক্ষা,दाने-दाने को मोहताज होना,To be extremely poor; to lack even basic necessities.,HIGH,False,bn-hi
30,অক্ষরে অক্ষরে,কিছুমাত্র অন্যথা না করে; কোন ব্যতিক্রম না করে; যথাযথভাবে; সম্পূর্ণভাবে,खाक छानना,To wander around aimlessly without any purpose or direction.,HIGH,False,bn-hi
33,অখন-তখন অবস্থা,আশঙ্কাজনক অবস্থা; যেকোন সময় মারা যেতে পারে,खाक छानना,To wander around aimlessly without any purpose or direction.,HIGH,False,bn-hi
34,অগতির গতি,অনন্যোপায়ের উপায়,अंधेर नगरी चौपट राजा,A place or situation where there is total chaos and no justice.,HIGH,False,bn-hi
35,অগত্যা মধুসূদন,অনন্যোপায় হয়ে; নিমরাজী,आँख चुराना,To hide out of shame; to avoid eye contact due to embarrassment or guilt.,HIGH,False,bn-hi
36,অগভীর জলের পুঁটিমাছ,অল্প ধন/বিদ্যা নিয়ে বড়াইকারী লোক,कान का उल्लू होना,To be a foolish or naive person who is easily fooled.,HIGH,False,bn-hi
37,অগর-মগর করা,নানা অজুহাত দেখানো; কিছু করা বা না করার পক্ষে নানা অজুহাত/ওজর/যুক্তি দেখানো,ङुर्र बनाना,To make false excuses; to create a pretext for avoiding something.,HIGH,False,bn-hi
38,অগস্ত্যযাত্রা,"চিরদিনের জন্য প্রস্থান; শেষযাত্রা, যে-যাত্রায় বিদেশযাত্রী আর ঘরে ফিরে আসে না",चौड़े बेंकर सोना,To be free from all worries; to be completely carefree.,HIGH,False,bn-hi
39,অগা,"বিদ্রুপে নির্বোধ, অকর্মা বলে গালি; স্নেহযুক্ত তিরস্কারে অগাকান্ত ও অগারাম; তুচ্ছার্থক তিরস্কারে অগামারা",कान का उल्लू होना,To be a foolish or naive person who is easily fooled.,HIGH,False,bn-hi
40,অগাধ জল,চরম বিপদ,अँगारे बरसना,To be scorching hot; extreme heat of the sun.,HIGH,False,bn-hi
41,অগাধ জলের মাছ,খুব চালাক লোক; সুচতুর ব্যক্তি; যার মনোভাব বোঝা যায় না,आँख का तारा,To be the most beloved person; someone cherished above all others (apple of one's eye).,HIGH,False,bn-hi
42,অগ্নি-অবতার,অতি ক্রুদ্ধব্যক্তি,अंग-अंग फूले न समाना,To be overjoyed; extremely delighted.,HIGH,False,bn-hi
43,অগ্নিকন্যা,অতিতেজস্বী নারী,गोद में खेलना,To be extremely close and intimate with someone.,HIGH,False,bn-hi
44,অগ্নিকাণ্ড,বিষম অনর্থ; তুলকালামকাণ্ড; তুমুল ঝগড়াবিবাদ; প্রচণ্ড মারামারি,छाती पीटना,To wail or lament loudly; to express intense grief.,HIGH,False,bn-hi
45,অগ্নিগর্ভ,অত্যন্ত উত্তেজনাপূর্ণ; উত্তপ্ত,अंग-अंग फूले न समाना,To be overjoyed; extremely delighted.,HIGH,False,bn-hi
47,অগ্নিদাতা,হিন্দুদের মধ্যে যে মৃতের মুখাগ্নি করে,कान का उल्लू होना,To be a foolish or naive person who is easily fooled.,MEDIUM,False,bn-hi
48,অগ্নিপরীক্ষা,কঠিন পরীক্ষা; কঠিন পরিস্থিতির সম্মুখীন,आसमान सिर पर उठा लेना,To take on a very difficult task; to attempt the impossible.,HIGH,False,bn-hi
50,অগ্নিবর্ষণ,ক্রোধপ্রকাশ,आँखें दिखाना,To express anger or to scold someone through threatening gestures.,HIGH,False,bn-hi
51,অগ্নিবল,ক্ষুধা,छाती पीटना,To wail or lament loudly; to express intense grief.,HIGH,False,bn-hi
52,অগ্নিবাণ,চরম আঘাত,अपने मुँह मियाँ मिट्ठू बनना,To blow one's own trumpet; to praise oneself.,HIGH,False,bn-hi
53,অগ্নিবৃদ্ধি,ক্ষুধাবৃদ্ধি; পরিপাকশক্তি বৃদ্ধি,जिसकी लाठी उसकी भैंस,Might is right; those with power can do as they please.,HIGH,False,bn-hi
55,অগ্নিমূর্তি,অতিশয় ক্রুদ্ধ,अंग-अंग फूले न समाना,To be overjoyed; extremely delighted.,HIGH,False,bn-hi
56,অগ্নিমূল্য,অত্যন্ত আক্রা; চড়াদাম,अंग-अंग फूले न समाना,To be overjoyed; extremely delighted.,HIGH,False,bn-hi
