id,idiom_src,meaning_src,idiom_tgt,meaning_tgt,confidence,verified,lang_pair
2,অকর্মার ধাড়ি,অকাজে অগ্রগণ্য; কোন কাজের নয়; নিতান্ত অলস ব্যক্তি,आँखों का काँटा,A person who is disliked or irritating.,HIGH,False,bn-hi
5,অকাজের গোঁসাই,অনুচিত কাজ করতে মুখিয় থাকা ব্যক্তি,आँखों का काँटा,A person who is disliked or irritating.,HIGH,False,bn-hi
10,অকালপক্ব,ডেঁপো; বয়সের তুলনায় বেশি পাকা; বালকবয়সে বড়দের মতো আচরণকারী,छोटा मुँह बड़ी बात,Talking beyond one's status.,HIGH,False,bn-hi
14,অকালসন্ধ্যা,অসময়ে আগত সময়,सांप भी मर जाए और लाठी भी न टूटे,Finding a solution that satisfies all parties without loss.,HIGH,False,bn-hi
15,অকালসন্ধ্যা,অসময়ে আগত সময়,सांप भी मर जाए और लाठी भी न टूटे,Finding a solution that satisfies all parties without loss.,HIGH,False,bn-hi
18,অকূল,কঠিন বিপদ; চরম মহাসংকট,खून खौलना,To feel extreme anger.,HIGH,False,bn-hi
19,অকূলতারণ,বিপদে যে রক্ষা করে এমন ব্যক্তি,आँखों का काँटा,A person who is disliked or irritating.,HIGH,False,bn-hi
20,অকূলে কূল পাওয়া,নিরুপায় অবস্থা থেকে উদ্ধার পাওয়া; গভীর সঙ্কটে সাহায্য পাওয়া; মহাবিপদ থেকে উদ্ধার পাওয়া,तिनके का सहारा,A small help in a difficult situation.,HIGH,False,bn-hi
21,অকূলে ডোবা,ভীষণ বিপদ বা মহাসঙ্কটে পড়া,खून खौलना,To feel extreme anger.,HIGH,False,bn-hi
24,অকূলের ভেলা,একান্ত নিরুপায় অবস্থার শেষ অবলম্বন,पानी सिर से गुजरना,Situation getting out of control.,HIGH,False,bn-hi
26,অক্টোপাস,চারিদিক থেকে আসা মারাত্মক আক্রমণ,सांप भी मर जाए और लाठी भी न टूटे,Finding a solution that satisfies all parties without loss.,HIGH,False,bn-hi
27,অক্ষয়বট,অতিপ্রাচীন ব্যক্তি; অতিবৃদ্ধ ব্যক্তি,थक कर चूर होना,To be extremely tired.,HIGH,False,bn-hi
30,অক্ষরে অক্ষরে,কিছুমাত্র অন্যথা না করে; কোন ব্যতিক্রম না করে; যথাযথভাবে; সম্পূর্ণভাবে,सांप भी मर जाए और लाठी भी न टूटे,Finding a solution that satisfies all parties without loss.,HIGH,False,bn-hi
34,অগতির গতি,অনন্যোপায়ের উপায়,पानी सिर से गुजरना,Situation getting out of control.,HIGH,False,bn-hi
35,অগত্যা মধুসূদন,অনন্যোপায় হয়ে; নিমরাজী,पानी सिर से गुजरना,Situation getting out of control.,HIGH,False,bn-hi
36,অগভীর জলের পুঁটিমাছ,অল্প ধন/বিদ্যা নিয়ে বড়াইকারী লোক,आँखों का काँटा,A person who is disliked or irritating.,HIGH,False,bn-hi
37,অগর-মগর করা,নানা অজুহাত দেখানো; কিছু করা বা না করার পক্ষে নানা অজুহাত/ওজর/যুক্তি দেখানো,नाक ऊँची करना,To make proud.,HIGH,False,bn-hi
38,অগস্ত্যযাত্রা,"চিরদিনের জন্য প্রস্থান; শেষযাত্রা, যে-যাত্রায় বিদেশযাত্রী আর ঘরে ফিরে আসে না",आसमान से गिरा खजूर में अटका,From bad to worse.,HIGH,False,bn-hi
40,অগাধ জল,চরম বিপদ,खून खौलना,To feel extreme anger.,HIGH,False,bn-hi
41,অগাধ জলের মাছ,খুব চালাক লোক; সুচতুর ব্যক্তি; যার মনোভাব বোঝা যায় না,पैर जमाना मुश्किल होना,Hard to establish oneself.,HIGH,False,bn-hi
42,অগ্নি-অবতার,অতি ক্রুদ্ধব্যক্তি,थक कर चूर होना,To be extremely tired.,HIGH,False,bn-hi
43,অগ্নিকন্যা,অতিতেজস্বী নারী,थक कर चूर होना,To be extremely tired.,HIGH,False,bn-hi
45,অগ্নিগর্ভ,অত্যন্ত উত্তেজনাপূর্ণ; উত্তপ্ত,थक कर चूर होना,To be extremely tired.,HIGH,False,bn-hi
47,অগ্নিদাতা,হিন্দুদের মধ্যে যে মৃতের মুখাগ্নি করে,आँखों का काँटा,A person who is disliked or irritating.,MEDIUM,False,bn-hi
48,অগ্নিপরীক্ষা,কঠিন পরীক্ষা; কঠিন পরিস্থিতির সম্মুখীন,तिनके का सहारा,A small help in a difficult situation.,HIGH,False,bn-hi
55,অগ্নিমূর্তি,অতিশয় ক্রুদ্ধ,थक कर चूर होना,To be extremely tired.,HIGH,False,bn-hi
56,অগ্নিমূল্য,অত্যন্ত আক্রা; চড়াদাম,थक कर चूर होना,To be extremely tired.,HIGH,False,bn-hi
58,অগ্নিশর্মা,"অত্যন্ত কোপনস্বভাব-ব্যক্তি; ক্রুদ্ধ, ক্ষিপ্ত",थक कर चूर होना,To be extremely tired.,HIGH,False,bn-hi
59,অগ্নিসংস্কার,মন্ত্র পড়ে শবদাহ; মৃতদেহ সৎকার,दिल पर पत्थर रखना,To control emotions with difficulty.,HIGH,False,bn-hi
66,অগ্রপশ্চাৎ,অগ্রপশ্চাৎ বিবেচনা না করে কাজ করলে ফল ভালো হয় না,सांप भी मर जाए और लाठी भी न टूटे,Finding a solution that satisfies all parties without loss.,HIGH,False,bn-hi
72,অঙ্কুরে বিনষ্ট,শুরুতেই নাশ/বিনাশ,आसमान से गिरा खजूर में अटका,From bad to worse.,HIGH,False,bn-hi
75,অঙ্কস্থ,আয়ত্ব; হস্তগত,छोटा मुँह बड़ी बात,Talking beyond one's status.,HIGH,False,bn-hi
76,অঙ্কস্থ,আয়ত্ব; হস্তগত,छोटा मुँह बड़ी बात,Talking beyond one's status.,HIGH,False,bn-hi
77,অঙ্গ জল হওয়া,ভয় পাওয়া,खून खौलना,To feel extreme anger.,HIGH,False,bn-hi
80,অঙ্গুলিত্রান,সতর্কতামূলক ব্যবস্থা গ্রহণ করা,दिल पर लेना,To take something personally.,HIGH,False,bn-hi
81,অঙ্গুলি নির্দেশ,আঙ্গুলের ইসারা; আঙ্গুলের নির্দেশ,दिल पर पत्थर रखना,To control emotions with difficulty.,HIGH,False,bn-hi
87,অজগ্রাম,নিতান্ত অপরিচিত ক্ষুদ্রপল্লী,तिनके का सहारा,A small help in a difficult situation.,HIGH,False,bn-hi
89,অজাতশত্রু,যার শত্রু নাই; যার শত্রু জন্মায়নি; যে শত্রুতা করে না,नाक ऊँची करना,To make proud.,HIGH,False,bn-hi
90,অজাতশ্মশ্রু,যার গোঁফদাড়ি জন্মায়নি; অপ্রাপ্তবয়স্ক বা অল্পবয়স্ক,कान पकड़ना,To promise not to repeat a mistake.,HIGH,False,bn-hi
